Z13,Mean,Outer Edge Length,Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i li,fl' li,fk' li,fi' li,F'i re,fl' re,fk' re,fi' re
KW_001,2649.620573,0.040624294,5.50753480631478e-07,7754473568.39848,7.438747341,0.209015105,7.229732235,20.597065,6.048331,15.233514,14.68191,9.355681,5.648032,4.509424,4.067972
KW_002,2649.633178,0.029175948,4.06574133376991e-07,7754473501.66841,7.43826453,0.209126644,7.229137886,16.600389,4.142742,12.693607,12.769014,8.644613,4.959299,3.948602,3.991354
KW_003,2649.623669,0.046962751,6.80355844371859e-07,7754473552.00141,7.438682735,0.209128899,7.229553836,18.217345,4.687579,14.632538,14.614189,7.659786,4.329786,3.751987,3.975801
KW_004,2649.630112,0.033710575,4.81251720354586e-07,7754473517.89467,7.438755286,0.209031062,7.229724224,19.160449,5.436279,14.631032,14.654815,13.922164,5.428021,9.565091,10.434281
KW_005,2649.63446,0.035109788,5.046690849996e-07,7754473494.87767,7.438668578,0.208984504,7.229684075,17.992096,5.08853,13.583811,13.802458,8.972322,5.59774,3.734351,3.57524
KW_006,2649.637688,0.02768206,4.16579703706978e-07,7754473477.79101,7.438332254,0.209071955,7.229260298,18.143506,4.477183,13.880007,12.915179,8.931095,5.583117,4.34891,4.417129
KW_007,2649.634117,0.036782877,5.65436503274334e-07,7754473496.6957,7.438808676,0.208995498,7.229813178,15.633015,3.410097,13.525789,13.415924,5.034717,2.050043,4.18092,4.632939
KW_008,2649.616847,0.03129468,4.28433739378894e-07,7754473588.13053,7.438261873,0.209016717,7.229245155,17.790583,4.058958,14.267116,14.294218,8.921511,5.563245,4.096478,4.076804
KW_009,2649.632863,0.028714132,4.06473612931831e-07,7754473503.34171,7.438464239,0.209065562,7.229398678,18.248691,5.60861,13.22011,13.120667,8.789258,5.233211,4.091991,3.881622
KW_010,2649.630204,0.026092133,3.62638173285424e-07,7754473517.41401,7.438652654,0.208989572,7.229663082,16.831714,3.723956,13.501789,13.338672,6.74354,4.02295,3.624647,3.975045
KW_011,2649.618848,0.039578534,5.53229187040432e-07,7754473577.536,7.438662907,0.209050899,7.229612008,17.472759,3.43085,14.900635,14.537441,7.789262,4.802848,3.901063,3.917328
KW_012,2649.622582,0.028040004,3.87133658426422e-07,7754473557.77212,7.438817322,0.209113681,7.229703641,18.338413,5.387829,13.814156,13.390209,8.868032,5.256383,4.087667,4.315645
KW_013,2649.625022,0.032430105,4.51072670386443e-07,7754473544.85171,7.438729699,0.209007352,7.229722347,19.729758,5.980526,14.256063,14.336825,9.41224,5.599484,4.876408,4.543916
KW_014,2649.620026,0.031503868,4.45644345810422e-07,7754473571.29934,7.438772895,0.209159453,7.229613442,20.539432,6.427226,14.758579,14.664488,9.624319,6.69932,3.96448,4.903637
KW_015,2649.64049,0.041589195,5.91505639116501e-07,7754473462.94792,7.43864367,0.209108562,7.229535108,21.543902,4.39742,17.712473,17.850386,16.205344,5.639088,11.606583,11.967968
KW_016,2649.626637,0.04306844,6.23223901851736e-07,7754473536.29219,7.438797103,0.209111859,7.229685243,26.014775,4.783616,26.191425,26.012426,10.021618,6.060685,6.469604,5.392183
KW_017,2649.629896,0.037067553,5.38586882784035e-07,7754473519.03982,7.438725352,0.209024591,7.229700761,18.707797,4.573294,14.252945,14.071404,7.93901,3.429069,5.439266,4.569037
KW_018,2649.612155,0.032987915,4.49013095497182e-07,7754473612.97384,7.438641289,0.209151299,7.22948999,20.069959,5.555219,15.237696,15.605338,8.91302,5.724429,4.786714,5.54283
KW_019,2649.61682,0.037014141,5.12715286904043e-07,7754473588.27264,7.438772766,0.209027039,7.229745727,19.356759,5.170973,15.135774,14.713302,9.818806,5.818912,5.663298,5.297158
KW_020,2649.622997,0.039607099,5.70408716043686e-07,7754473555.56556,7.438498113,0.209024581,7.229473532,18.599817,5.03318,15.548852,15.84492,10.949008,6.740774,6.461431,6.390701
KW_021,2649.635067,0.038065212,5.59898974788097e-07,7754473491.66358,7.43867131,0.209054217,7.229617093,19.746953,5.440739,14.821448,14.780756,9.732768,5.58358,4.488035,4.549376
KW_022,2649.618154,0.035203164,4.96537248712832e-07,7754473581.21332,7.438599004,0.209005799,7.229593205,20.956002,6.673699,15.015571,14.569187,10.10205,5.676133,4.498953,4.461492
KW_023,2649.612824,0.026578484,3.58406397073786e-07,7754473609.42815,7.438322829,0.209071127,7.229251702,18.672194,4.392614,14.873887,15.258937,13.10232,4.834164,9.181175,8.497366
KW_024,2649.609529,0.034223102,4.75779266702102e-07,7754473626.8784,7.43866117,0.208996404,7.229664765,17.229676,2.778572,15.191936,15.354951,6.865298,3.024083,4.144281,4.072176
KW_025,2649.6283,0.038534878,5.48947383363003e-07,7754473527.47754,7.438720931,0.209119973,7.229600958,20.51247,5.170769,15.93194,15.400222,9.670212,5.914767,4.550127,4.598739
KW_026,2649.635254,0.035405819,5.15563105931674e-07,7754473490.67598,7.438713387,0.209036301,7.229677086,19.243571,5.802553,14.905301,14.464177,9.361628,5.134031,4.920838,4.452325
KW_027,2649.627899,0.032441199,4.77885533633315e-07,7754473529.61734,7.438794847,0.20914396,7.229650886,20.80442,6.285864,15.495998,15.761924,10.021547,5.958994,4.489689,4.430594
KW_028,2649.631007,0.045427442,6.64246771999839e-07,7754473513.1501,7.438692871,0.209055651,7.22963722,18.031624,4.464872,15.174555,14.98458,9.206228,4.959555,4.745065,4.662803
KW_029,2649.630084,0.029945159,4.29662648534729e-07,7754473518.04301,7.438781559,0.209124476,7.229657083,18.348176,4.107298,14.598843,15.462666,9.379466,4.926055,5.184798,4.385482
KW_030,2649.639805,0.028594558,4.34512317790345e-07,7754473466.57954,7.438640309,0.209110742,7.229529567,18.096954,4.826237,14.022506,13.934735,10.050116,5.689025,5.624951,5.451119
KW_031,2649.627088,0.0454453,6.37835979489638e-07,7754473533.90333,7.438387797,0.20901279,7.229375007,19.450811,4.956739,15.36215,14.813987,8.374845,4.261799,4.592619,4.418862
KW_032,2649.626203,0.035949944,5.13772527264892e-07,7754473538.58322,7.43835404,0.209088446,7.229265594,20.987755,6.666594,15.257294,16.237048,10.776357,6.771795,5.047521,4.939703
KW_033,2649.629688,0.038915118,5.61879803216339e-07,7754473520.12936,7.438665767,0.209018088,7.229647679,20.109174,5.912695,15.20467,15.231246,19.391957,5.990943,19.862431,19.120148
KW_034,2649.626112,0.043766282,6.33001676629958e-07,7754473539.06542,7.438677256,0.209105159,7.229572097,20.285324,5.417723,15.9259,15.887347,10.013857,5.568212,5.181964,5.18521
KW_035,2649.623015,0.038766603,5.57623389177335e-07,7754473555.4635,7.438483646,0.209038192,7.229445453,18.218345,4.359088,15.571364,15.481172,8.116986,3.769296,4.662142,4.580131
KW_036,2649.63265,0.042064651,5.90280855803408e-07,7754473504.45207,7.438657173,0.208986261,7.229670912,19.479462,4.136453,16.370937,16.441423,8.063456,3.96927,5.937757,5.838476
KW_037,2649.625092,0.034884598,5.02580054216718e-07,7754473544.47688,7.438632201,0.209074366,7.229557835,20.198226,5.702449,15.111123,15.42527,10.353981,6.470755,4.552577,4.253996
KW_038,2649.632851,0.030225832,4.28524527207415e-07,7754473503.39769,7.438655976,0.209064085,7.229591891,18.699933,5.115223,14.582567,14.888975,10.074513,6.029786,4.411502,4.532227
KW_039,2649.637304,0.032606965,4.74489279422978e-07,7754473479.82177,7.438391747,0.209113152,7.229278595,19.440622,5.659202,14.418499,14.565887,8.926436,5.211563,4.974389,4.628787
KW_040,2649.627541,0.037889601,5.36615933358754e-07,7754473531.49167,7.438514193,0.209033623,7.22948057,21.071454,5.732021,15.937472,15.529757,8.908451,4.507308,4.646658,5.252361
KW_041,2649.620374,0.039815351,5.56667937511766e-07,7754473569.45548,7.438798242,0.209102108,7.229696134,20.228466,4.066963,16.443115,15.896753,8.682705,4.62842,5.329239,5.060241
KW_042,2649.621067,0.042543029,6.16504757028182e-07,7754473565.78218,7.438658673,0.20911707,7.229541603,20.02984,4.541912,15.871961,15.21272,7.906994,3.26927,5.021498,5.023996
KW_043,2649.631856,0.041203503,5.99599779385149e-07,7754473508.65947,7.438532143,0.209124466,7.229407678,18.798911,4.567162,15.406445,15.328815,15.668056,5.414274,11.636556,11.8896
KW_044,2649.631133,0.036761254,5.14711742513372e-07,7754473512.48722,7.438556209,0.208999014,7.229557195,18.868868,4.947821,15.576812,15.501053,9.462734,5.487982,5.181218,5.501306
KW_045,2649.62898,0.046368996,6.67390523985491e-07,7754473523.88583,7.438669011,0.208985828,7.229683183,21.549785,6.342096,15.803565,15.251222,11.113782,6.205254,5.216902,4.846141
KW_046,2649.628071,0.029714082,4.22621370301817e-07,7754473528.70951,7.438648301,0.209074877,7.229573424,18.643649,4.939407,14.669857,14.528968,8.639161,4.360976,4.543134,4.570117
KW_047,2649.627601,0.046338977,6.53138778384705e-07,7754473531.18957,7.438669089,0.209083785,7.229585304,19.225893,4.937957,15.449602,15.521019,9.129415,4.338563,5.436275,5.136695
KW_048,2649.617528,0.030223036,4.35468135378579e-07,7754473584.5216,7.43845,0.209045445,7.229404555,19.414907,4.294541,15.666302,15.747889,9.83058,5.60948,5.032567,5.145636
KW_049,2649.618776,0.035108344,4.90234184187765e-07,7754473577.91251,7.438733217,0.20900356,7.229729657,18.788898,4.507854,15.757669,16.051562,8.971879,4.997955,4.796507,4.731779
KW_050,2649.630029,0.029730707,4.44539922092347e-07,7754473518.33635,7.438711217,0.209063626,7.229647591,19.520705,4.639246,15.092792,14.937441,9.663911,4.79344,5.152459,4.663582
KW_051,2649.609812,0.033406844,4.6589573904141e-07,7754473625.37646,7.438657251,0.209101552,7.229555699,21.721177,6.042484,16.497877,15.835934,20.790998,6.014618,15.725951,15.976621
KW_052,2649.615574,0.035374742,5.01865618624738e-07,7754473594.87061,7.438758418,0.209030082,7.229728336,14.1445,3.90813,12.577784,12.20397,8.310561,3.546418,6.307911,6.230025
KW_053,2649.624512,0.023810034,3.47005153998285e-07,7754473547.55641,7.438473553,0.209076813,7.22939674,15.521642,5.542341,10.676216,11.64331,12.206992,6.825711,6.071173,5.589401
KW_054,2649.615321,0.0301738,4.1144377493188e-07,7754473596.21409,7.43825086,0.209128468,7.229122392,13.705561,3.081544,11.518126,11.484092,7.898128,3.448573,5.376253,5.165176
KW_055,2649.624753,0.032228371,4.49756688610243e-07,7754473546.27522,7.438715948,0.209010757,7.229705191,14.833498,4.341368,11.346306,11.113986,7.983486,3.726732,5.44952,5.395383
KW_056,2649.609896,0.034335403,4.55722233217848e-07,7754473624.92917,7.438869778,0.209116863,7.229752915,13.526139,2.542279,13.813482,13.414568,6.014068,1.792112,5.044209,4.672625
KW_057,2649.628833,0.046467497,7.23205090976099e-07,7754473524.67086,7.438522891,0.209139199,7.229383691,13.450515,3.809388,11.906409,11.902269,9.930559,4.254269,5.722827,5.773161
KW_058,2649.626853,0.04547494,6.73127651919069e-07,7754473535.14412,7.438633644,0.209098008,7.229535636,17.420586,5.954719,11.628018,11.799667,11.740733,6.756007,5.619257,5.84344
KW_059,2649.610245,0.032940076,4.57595579200599e-07,7754473623.08196,7.438624915,0.209095926,7.229528989,13.653872,3.061964,11.710035,11.906327,7.407738,2.761127,5.145616,4.627335
KW_060,2649.612515,0.042471365,5.88650522910106e-07,7754473611.0684,7.438394685,0.209163263,7.229231422,18.525666,7.179644,13.05101,12.19132,10.425826,6.807669,4.941188,5.966173
KW_061,2649.614265,0.046391207,7.03766260689705e-07,7754473601.79492,7.438660426,0.209039505,7.229620921,16.148797,5.211439,13.145711,12.681388,9.247124,5.062751,4.87937,4.850465
KW_062,2649.613773,0.036456915,5.32068019245818e-07,7754473604.40085,7.438679121,0.209049007,7.229630114,17.096517,5.434246,12.044602,12.291945,11.050799,6.05884,5.518137,5.086905
KW_063,2649.62543,0.043132213,6.2053963727716e-07,7754473542.68213,7.438673888,0.208999175,7.229674713,14.800997,4.350812,11.856974,11.437094,10.6094,4.81884,6.064015,5.829123
KW_064,2649.614134,0.033077542,4.62420459916815e-07,7754473602.49843,7.438696315,0.209010823,7.229685492,16.454765,5.324477,11.715638,11.713092,9.316893,4.937315,5.359265,5.362607
KW_065,2649.62072,0.033233888,4.74151134000112e-07,7754473567.62479,7.438640826,0.2090155,7.229625326,14.571179,5.21032,10.96426,11.259309,9.895905,5.107535,5.714167,5.715998
KW_066,2649.63415,0.035560929,5.26522519848065e-07,7754473496.5218,7.438803766,0.209133971,7.229669795,14.839362,4.83151,11.069998,10.965473,11.980861,5.682908,6.732598,6.542334
KW_067,2649.607591,0.043752762,6.37338011862221e-07,7754473637.13199,7.438625414,0.209038033,7.229587381,17.696988,5.612289,12.530278,12.603644,11.533673,6.913384,5.054284,5.331195
KW_068,2649.605835,0.03939204,5.55994318199398e-07,7754473646.43232,7.438345594,0.209128589,7.229217005,14.715485,3.630967,12.358853,12.306929,7.287461,3.460916,5.562977,5.695488
KW_069,2649.617817,0.043229441,6.09251027099326e-07,7754473582.98671,7.438550447,0.20914241,7.229408036,14.918743,4.189054,11.957419,11.701297,7.876521,3.804788,5.075023,4.739584
KW_070,2649.621772,0.043766094,6.50509180512506e-07,7754473562.04153,7.438650291,0.20907319,7.229577101,15.841563,4.736524,12.087659,13.048965,11.121758,4.679499,6.66618,5.886149
KW_071,2649.61023,0.046264594,6.58517862182929e-07,7754473623.16558,7.438654245,0.209138148,7.229516097,17.848912,5.174898,12.752268,12.904922,11.112798,6.156195,5.5176,5.405183
KW_072,2649.627809,0.045217261,6.68400182334676e-07,7754473530.08232,7.438701755,0.209137694,7.229564061,17.168724,6.667843,12.838947,13.374293,11.072404,6.575528,5.071044,5.267146
KW_073,2649.627283,0.041874933,6.19137163848228e-07,7754473532.86935,7.438560961,0.209158913,7.229402047,17.095587,5.174024,12.640761,12.50539,9.774807,4.601877,5.268868,5.572553
KW_074,2649.623291,0.043602553,6.5543609173427e-07,7754473554.01511,7.43873029,0.209088641,7.229641649,17.013648,6.437908,12.073591,11.818332,11.147438,6.40042,5.830712,5.582653
KW_075,2649.628808,0.032044615,4.71360959167994e-07,7754473524.80314,7.438619486,0.209161235,7.229458251,15.727262,4.746243,11.570991,11.374629,11.194802,5.00775,6.43075,6.366528
KW_076,2649.625108,0.037107066,5.2293541302697e-07,7754473544.39475,7.438797612,0.20910873,7.229688882,15.338663,4.739422,11.257224,11.031186,9.796961,5.639063,6.214172,5.882841
KW_077,2649.630607,0.038539244,5.71261650274165e-07,7754473515.27454,7.438422645,0.209009118,7.229413527,13.422907,5.18624,9.456365,9.635379,11.08756,5.920662,6.085944,6.389562
KW_078,2649.63236,0.042843019,6.31165594074761e-07,7754473506.00115,7.438755978,0.20904737,7.229708608,33.252517,8.871367,26.792454,27.84687,12.403493,6.966954,6.253867,6.463198
KW_079,2649.622593,0.035871083,5.16109978072623e-07,7754473557.69888,7.438680859,0.209042877,7.229637982,14.322388,4.481743,10.266234,10.092892,8.865471,4.648588,5.61061,5.760209
KW_080,2649.634217,0.033883685,5.1018806299898e-07,7754473496.16213,7.438392579,0.209101734,7.229290846,15.218429,6.673568,9.157003,8.976784,10.613407,5.029476,6.184864,6.726395
KW_081,2649.633085,0.030377824,4.6076628857718e-07,7754473502.16372,7.438648471,0.20913589,7.22951258,13.47352,3.782068,9.733251,8.686257,8.616733,2.849667,7.067935,7.090009
KW_082,2649.63937,0.036787772,5.49646022286669e-07,7754473468.88059,7.438276387,0.209121562,7.229154825,11.057137,1.96244,9.687306,8.821401,7.772391,2.509816,5.888693,5.822985
KW_083,2649.62904,0.038659126,5.6273863478518e-07,7754473523.56226,7.438694475,0.209135475,7.229559,14.158121,4.226424,10.91616,10.729658,10.920141,5.163717,6.593722,6.245329
KW_084,2649.631514,0.045599586,6.95595077835933e-07,7754473510.47097,7.438696523,0.209163511,7.229533011,15.337993,6.430137,10.119171,9.58038,12.173818,6.154505,6.252346,6.795796
KW_085,2649.618258,0.041146215,5.79312671185095e-07,7754473580.6525,7.438616654,0.209128013,7.229488641,14.709796,5.156465,11.670819,11.649687,10.799155,5.569885,6.355328,6.222944
KW_086,2649.627889,0.03494744,5.21878622660112e-07,7754473529.66551,7.438744083,0.209133696,7.229610387,14.116449,5.494075,9.611128,9.791794,11.732587,5.816627,6.569815,5.675041
KW_087,2649.630607,0.036855165,5.37983631560577e-07,7754473515.27153,7.438612242,0.20911745,7.229494791,11.804795,3.830804,8.98482,9.644502,10.599546,4.826345,5.945549,6.033459
KW_088,2649.628961,0.039662049,5.5953572921275e-07,7754473523.99077,7.438682499,0.209116844,7.229565655,14.504398,5.194189,9.94129,9.692412,12.135325,5.279325,7.046684,6.296931
KW_089,2649.629582,0.041548213,6.17405447337989e-07,7754473520.70338,7.438324465,0.20903873,7.229285735,14.953845,5.584567,10.730835,10.757259,9.74084,4.182031,6.262976,6.089565
KW_090,2649.628103,0.042736582,6.39825259805361e-07,7754473528.52739,7.438767467,0.209040595,7.229726871,15.77489,6.124691,10.782202,11.460967,12.704752,7.189895,6.201838,6.633151
KW_091,2649.629233,0.038711174,5.63198091437809e-07,7754473522.55061,7.438700682,0.209053295,7.229647387,13.938034,4.394801,10.582852,10.788845,9.495849,4.76887,7.81495,7.321738
KW_092,2649.638087,0.034369968,5.25719795574742e-07,7754473475.67657,7.438646312,0.209055941,7.229590372,16.902069,7.30457,9.697839,9.644944,13.337193,7.210642,6.444949,6.494579
KW_093,2649.629174,0.037044146,5.17675744449864e-07,7754473522.85858,7.438336802,0.209023209,7.229313593,12.356161,3.022671,10.832818,10.124465,9.299294,3.049047,6.550799,6.071261
KW_094,2649.630587,0.042781204,6.39944454688058e-07,7754473515.38095,7.438745018,0.208988665,7.229756353,14.41103,4.628699,10.355689,9.755585,9.479182,4.660825,5.838602,5.866518
KW_095,2649.625356,0.044193885,6.53035938235033e-07,7754473543.06986,7.438413333,0.209015885,7.229397447,15.584809,5.488003,11.435065,10.882349,11.708553,6.687574,5.39686,5.908253
KW_096,2649.62707,0.041493697,6.00743683194019e-07,7754473533.99697,7.438547136,0.209123429,7.229423707,14.46622,4.93901,10.909613,10.45163,10.382064,4.876473,6.024012,6.183087
KW_097,2649.633435,0.036510675,5.51860944300599e-07,7754473500.30927,7.438740451,0.20903068,7.229709771,12.455335,4.190759,9.463255,10.336173,8.515681,2.964379,6.613017,6.740676
KW_098,2649.631291,0.046077549,6.79774577303761e-07,7754473511.65767,7.438616746,0.209130033,7.229486713,11.932379,3.80535,10.520404,9.672544,8.634703,3.541701,6.417397,6.576699
KW_099,2649.634872,0.035387815,5.22695474720532e-07,7754473492.6913,7.438621978,0.209023287,7.229598691,14.35171,5.332716,9.906125,9.897876,12.03587,5.899862,6.329678,6.514555
KW_100,2649.630229,0.039236463,5.71209456023809e-07,7754473517.27928,7.438619507,0.209138337,7.22948117,13.716523,4.264952,10.354718,10.123389,18.888187,6.424888,15.395133,16.028785
